date,time,Holiday,Year,Mouth,Day,TOPT,MT,LOWT,WET,P,WIND,RAIN,SUN,SO2,NO2,CO,O3,PM10,PM2.5,TD,WOAMN,MAN,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AG1,AG2,AG3,HX,XH,MJ,NFM
20140501,121,1,2014,5,1,27.5,19.7,11.5,72,1014.2,1.7,0,107,16,38,1,140,89,54,93,39,54,0,0,3,10,21,51,8,0,23,70,10,33,0,3
20140502,122,1,2014,5,2,30.8,21.8,12.7,61,1016.2,2.6,0,108,19,39,1,148,84,46,91,49,42,1,0,2,6,24,48,10,1,16,74,17,32,1,4
20140503,123,1,2014,5,3,22,18.2,14,60,1020.4,2.9,0,92,22,33,1,118,104,51,94,46,48,0,0,5,14,17,45,13,0,28,66,16,26,0,4
20140504,124,0,2014,5,4,21.2,16.4,13.4,77,1016.1,2,102,0,15,42,1,91,90,46,103,39,64,0,0,0,5,24,67,7,0,12,91,13,37,1,0
20140505,125,0,2014,5,5,18.7,16.1,13.7,54,1020.9,2.9,36,115,26,31,1.1,122,54,25,82,37,45,0,0,4,10,18,44,6,0,22,60,10,24,0,2
20140506,126,0,2014,5,6,22.1,15.6,9.2,49,1019.9,2.1,0,109,16,32,1,116,61,30,86,32,54,0,0,3,16,18,44,5,0,30,56,10,21,0,5
20140507,127,0,2014,5,7,27,19.5,10.6,63,1012.3,2.4,0,111,12,23,0.9,121,49,24,104,39,65,1,0,4,11,28,53,7,1,26,77,11,36,1,2
20140508,128,0,2014,5,8,27.7,19.4,14.3,76,1012.9,2.7,0,100,32,58,1.1,198,108,62,99,37,62,2,0,4,13,20,51,9,2,29,68,14,30,0,0
20140509,129,0,2014,5,9,21.1,16.5,11.9,84,1014.9,1.8,2,0,11,26,0.8,122,89,56,94,38,56,0,0,3,9,31,42,9,0,21,73,13,33,2,3
20140510,130,1,2014,5,10,21.1,19.5,16.9,89,1011.9,2.6,1,0,8,19,0.7,87,31,20,83,38,45,1,0,5,6,24,37,10,1,19,63,11,18,1,5
20140511,131,1,2014,5,11,26.4,22.1,18.9,88,1006.8,3.2,84,0,9,21,0.9,65,33,21,89,43,46,1,0,1,12,16,51,8,1,17,71,13,35,1,0
20140512,132,0,2014,5,12,25.3,20,17,75,1011.5,0.9,85,47,21,38,1.3,163,61,46,104,43,61,0,0,6,17,24,49,8,0,36,68,14,30,2,3
20140513,133,0,2014,5,13,24,20,14.7,71,1008,2.5,2,32,15,36,1,123,60,40,85,32,53,2,0,3,17,17,37,9,2,27,56,6,23,3,1
20140514,134,0,2014,5,14,27,22.4,19.1,86,1001,1.4,410,24,20,49,1.2,113,81,55,98,43,55,1,1,7,8,16,51,14,2,20,76,17,30,2,2
20140515,135,0,2014,5,15,24.3,20.6,16.9,82,1006.1,2.3,6,37,27,52,1.1,191,113,68,94,43,51,1,0,1,12,25,47,8,1,22,71,13,24,2,4
20140516,136,0,2014,5,16,27.2,21.5,15.6,69,1009.4,2.1,0,34,17,38,0.9,171,116,58,87,38,49,1,0,3,10,20,39,14,1,22,64,9,21,2,1
20140517,137,1,2014,5,17,22,19.2,17.7,93,1008.6,1.9,186,0,9,29,0.8,122,44,29,78,33,45,0,1,1,6,22,39,9,0,19,59,7,27,1,4
20140518,138,1,2014,5,18,18.6,18,17.4,96,1010.1,1.5,1,0,12,33,0.7,86,55,35,105,43,62,1,1,0,15,24,49,15,2,23,80,23,25,1,2
20140519,139,0,2014,5,19,23.9,19.1,16.3,90,1009.3,0.5,93,0,16,43,0.9,140,76,45,87,41,46,1,0,1,11,21,44,9,1,20,66,5,29,1,2
20140520,140,0,2014,5,20,26.9,21.6,18.9,81,1007,2.4,29,54,21,48,1.1,183,101,69,89,42,47,0,0,3,6,27,45,8,0,17,72,19,20,2,0
20140521,141,0,2014,5,21,29.4,22.7,15.5,73,1008.9,2.2,0,98,22,46,1.2,199,125,84,97,37,60,0,0,4,11,30,46,6,0,24,73,10,28,1,4
20140522,142,0,2014,5,22,23.2,21.5,19.5,73,1010.3,2.5,8,0,12,27,0.8,130,55,36,83,30,53,0,0,6,17,15,35,10,0,30,53,16,23,0,1
20140523,143,0,2014,5,23,26,22.1,18.5,74,1014.7,3.8,0,121,8,14,0.6,106,28,13,74,33,41,0,0,3,9,20,34,8,0,18,56,9,15,0,5
20140524,144,1,2014,5,24,24.2,22.4,20.4,84,1012.9,3.2,0,0,9,15,0.6,90,29,14,112,51,61,1,0,2,14,29,50,16,1,29,82,15,28,0,1
20140525,145,1,2014,5,25,29.5,25.3,22.8,87,1007.6,1.2,72,12,11,33,0.9,53,59,40,96,53,43,1,0,2,9,22,53,9,1,20,75,10,25,1,7
20140526,146,0,2014,5,26,30.5,24.7,21.4,81,1008.5,1.3,214,36,29,44,1.5,178,169,102,96,51,45,1,0,4,12,27,41,11,1,29,66,12,28,2,3
20140527,147,0,2014,5,27,32.6,25.4,20.6,78,1005.1,1.1,0,85,26,48,1.3,163,157,91,101,41,60,3,0,3,13,20,52,10,3,24,74,10,31,2,2
20140528,148,0,2014,5,28,33.6,26.8,20.5,59,1005.6,1.7,0,95,29,52,1.1,242,159,81,88,46,42,1,0,3,7,22,50,5,1,19,68,11,29,0,0
20140529,149,0,2014,5,29,32.8,26.8,19.8,55,1007,1.4,0,59,22,39,1,160,135,68,77,36,41,0,0,2,13,15,40,7,0,18,59,6,26,1,1
20140530,150,0,2014,5,30,29.2,25.7,20.1,56,1009.1,2.3,0,112,14,29,0.8,127,86,45,93,38,55,1,0,3,12,21,40,16,1,19,73,8,30,2,3
20140531,151,1,2014,5,31,23.8,21.9,20.7,84,1010.5,2.8,12,7,8,15,0.8,114,36,21,68,21,47,0,0,4,7,16,37,4,0,19,49,5,17,2,3
20140601,152,1,2014,6,1,24.1,22.7,21,89,1005.3,2.9,106,0,8,15,0.8,96,28,17,98,42,56,0,1,5,7,26,48,11,0,22,76,12,32,1,0
20140602,153,1,2014,6,2,30.4,25.1,22.4,78,1001.6,2.2,36,34,14,25,1,146,65,43,81,36,45,0,0,0,18,26,35,2,0,32,49,8,23,0,3
20140603,154,0,2014,6,3,25.4,22.8,19.6,68,1004.3,2.1,0,46,19,25,1,133,64,41,73,39,34,2,0,2,9,17,39,4,2,19,52,13,20,2,4
20140604,155,0,2014,6,4,25.7,22,17.4,75,1004.1,1.6,0,15,26,45,1.2,141,106,71,91,40,51,1,0,8,11,19,44,8,1,27,63,11,28,1,4
20140605,156,0,2014,6,5,25.9,21.6,17.3,83,1005,1.7,0,84,21,45,1.1,160,100,65,67,30,37,0,0,4,8,10,38,7,0,17,50,11,16,0,1
20140606,157,0,2014,6,6,28.5,23.5,18.6,79,1004.6,2,0,107,12,24,0.9,155,55,34,68,34,34,0,0,3,7,20,33,5,0,17,51,7,16,1,2
20140607,158,1,2014,6,7,30,24.8,20.9,77,1002.9,2.2,0,72,11,17,0.9,123,55,36,64,29,35,0,0,0,13,15,29,7,0,18,46,10,16,1,1
20140608,159,1,2014,6,8,28.9,24.6,19.9,79,1004.6,2.5,0,60,10,15,0.8,106,45,29,100,45,55,1,0,4,14,23,49,9,1,22,77,9,33,2,2
